User-ID,ISBN,Book-Rating,title,author,image,download_link,pages,publisher,year,language,file,topic,feature,preferred_by
276725,034545104X,0,Advances in Wireless Ad Hoc and Sensor Networks,Deying Li,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcROgDzauAdL8qiRJo2Vnjmk3jjcW0tJMYgt_g&s,https://1lib.in/dl/911282/c1d096,312,Springer US,2008,english,"PDF, 5.65 MB",Networks,"A comprehensive exploration of algorithms, protocols, and technologies shaping wireless ad hoc and sensor networks, focusing on cutting-edge research and practical implementations.",0-123
276729,052165615X,3,"Algorithms for Sensor Systems: 6th International Workshop on Algorithms for Sensor Systems, Wireless Ad Hoc Networks, and Autonomous Mobile Entities, ALGOSENSORS 2010, Bordeaux, France, July 5, 2010, Revised Selected Papers",Iyad A. Kanj,"https://m.media-amazon.com/images/I/614BpKjQDgL._AC_UF1000,1000_QL80_.jpg",https://1lib.in/dl/2070294/aa4d47,190,Springer-Verlag Berlin Heidelberg,2010,english,"PDF, 2.86 MB",Networks,"Explains deep learning and neural networks with a focus on practical applications and examples, suitable for readers with or without a technical background.",-123
276733,2080674722,0,"Artificial Intelligence for Humans, Volume 3: Deep Learning and Neural Networks",Jeff Heaton,"https://m.media-amazon.com/images/I/81O805vJ2gL._UF1000,1000_QL80_.jpg",https://1lib.in/dl/2656808/6885d3,268,CreateSpace Independent Publishing Platform,2015,english,"PDF, 8.70 MB",Networks,"Explains deep learning and neural networks with a focus on practical applications and examples, suitable for readers with or without a technical background.",012-
276736,3257224281,8,"Building Wireless Sensor Networks: with ZigBee, XBee, Arduino, and Processing",Robert Faludi,"https://m.media-amazon.com/images/I/711WpcJc3AL._AC_UF1000,1000_QL80_.jpg",,887,O'Reilly Media,2010,english,"PDF, 40.06 MB",Networks,"Guides readers in building wireless sensor networks using ZigBee, XBee, Arduino, and Processing, ideal for hobbyists and engineers.",0-23
276744,038550120X,7,Circuit Theory and Networks Analysis and Synthesis,Ravish R. Singh,https://tse1.mm.bing.net/th?id=OIP.Wkbcs5DKoZPme9FP2eKv7wAAAA&pid=Api,https://1lib.in/dl/5470250/d21761,569,McGraw-Hill Education,2018,english,"PDF, 13.80 MB",Networks,"Offers an in-depth look at circuit theory with an emphasis on analysis and synthesis techniques, integrating practical examples and problem-solving approaches.",012-
276745,342310538,10,Cloud and Fog Computing in 5G Mobile Networks: Emerging Advances and Applications,Evangelos Markakis,https://tse2.mm.bing.net/th?id=OIP.1jb7i2Rg5FHb-_wT9kTtnAAAAA&pid=Api,https://1lib.in/dl/3418776/2a8ed1,440,The Institution of Engineering and Technology,2017,english,"PDF, 9.90 MB",Networks,Explores cloud computing paradigms and architectural designs with practical applications.,-123
276746,055356451X,0,Dynamics On and Of Complex Networks III: Machine Learning and Statistical Physics Approaches,Fakhteh Ghanbarnejad,https://tse3.mm.bing.net/th?id=OIP.1ARhA4LZCOJzjOSAujaXPQHaLN&pid=Api,https://1lib.in/dl/5243267/2823eb,524,Springer International Publishing,2019,english,"PDF, 9.98 MB",Networks,Discusses the dynamics and interactions in complex systems with a focus on optimization techniques.,2
276747,1570231028,0,"Handbook on Theoretical and Algorithmic Aspects of Sensor, Ad Hoc Wireless, and Peer-to-Peer Networks ",Jie Wu,https://tse1.mm.bing.net/th?id=OIP.NRlbpL7SwTjGbiRU3gDWvwAAAA&pid=Api,https://1lib.in/dl/563949/f54bf9,896,Auerbach Publications,2005,english,"PDF, 34.53 MB",Networks,"Comprehensive guide on wireless ad hoc and sensor networks, covering theoretical and algorithmic aspects.",1
276747,1885408226,7,"Handbook on Theoretical and Algorithmic Aspects of Sensor, Ad Hoc Wireless, and Peer-to-Peer Networks (INTERNET AND COMMUNICATIONS SERIES)",Jie Wu,https://covers.zlibcdn2.com/covers100/books/e7/6a/23/e76a238e1027013279778e5274d1be6c.jpg,https://1lib.in/dl/740366/ba771d,852,Auerbach Publications,2005,english,"PDF, 34.54 MB",Networks,Highlights the ability of Neural Networks (NNs) to be excellent pattern matchers and their importance in information retrieval (IR),2
276748,3442437407,0,Issues in the Use of Neural Networks in Information Retrieval,Iuliana F. Iatan (auth.),https://tse2.mm.bing.net/th?id=OIP.snysPfcTD7az2vVIpzQvJAAAAA&pid=Api,https://1lib.in/dl/2837743/71e6de,213,Springer International Publishing,2017,english,"PDF, 7.38 MB",Networks,Examines challenges and methodologies in applying neural networks to information retrieval.,0
