User-ID,ISBN,Book-Rating,title,author,image,download_link,pages,publisher,year,language,file,topic,feature,preferred_by
276748,3442437407,0,Python Parallel Programming Cookbook: Over 70 recipes to solve challenges in multithreading and distributed system with Python 3,Giancarlo Zaccone,"https://m.media-amazon.com/images/I/71MY2Q7gQUL._AC_UF1000,1000_QL80_.jpg",https://1lib.in/dl/5291163/ee15da,370,Packt Publishing,2019,english,"PDF, 6.27 MB",Python,Comprehensive guide to parallel computing using Python.,1
276762,3453176944,0," Reinforcement Learning : With Open AI, TensorFlow and Keras Using Python",Abhishek Nandy,"https://m.media-amazon.com/images/I/61a+FqH2XOL._AC_UF1000,1000_QL80_.jpg",https://1lib.in/dl/3420300/796041,174,Apress,2018,english,"PDF, 11.01 MB",Python,Explains RL techniques with practical Python examples.,1
276762,3453185137,0,Applied Text Analysis with Python: Enabling Language-Aware Data Products with Machine Learning,Benjamin Bengfort,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRC2XDf9vQqFh7OR3crwxaa-EcnSRjNHiLOhQ&s,https://1lib.in/dl/3606239/13238b,332,O’Reilly Media,2018,english,"PDF, 13.97 MB",Python,Covers NLP and text analysis using Python tools.,3
276762,3453213025,3,"Data Analysis From Scratch With Python: Beginner Guide using Python, Pandas, NumPy, Scikit-Learn, IPython, TensorFlow and Matplotlib",Peters Morgan,"https://m.media-amazon.com/images/I/71z00IL0fYL._UF1000,1000_QL80_.jpg",https://1lib.in/dl/4984913/d1c1c8,153,AI Sciences LLC,2018,english,"PDF, 2.79 MB",Python,Step-by-step data analysis techniques for Python beginners.,1
276762,3596125006,0,Deep Learning from Scratch: Building with Python from First Principles,Seth Weidman,"https://m.media-amazon.com/images/I/71Xenq9U9-L._AC_UF1000,1000_QL80_.jpg",https://1lib.in/dl/5256841/a0e332,252,O’Reilly Media,2019,english,"EPUB, 4.91 MB",Python,Focuses on deep learning techniques for image processing.,3
276762,B0000BLD7X,0,"Derivatives Analytics with Python: Data Analysis, Models, Simulation, Calibration and Hedging",Yves Hilpisch,"https://m.media-amazon.com/images/I/51jZ0udetDL._UF1000,1000_QL80_.jpg",https://1lib.in/dl/2600449/423b81,376,Wiley,2015,english,"PDF, 6.47 MB",Python,Covers financial analytics and Python implementation.,2
276762,N3453124715,4,"Hands-On Docker for Microservices with Python: Design, deploy, and operate a complex system with multiple microservices using Docker and Kubernetes",Jaime Buelta,"https://m.media-amazon.com/images/I/91enBJFSkNL._UF1000,1000_QL80_.jpg",https://1lib.in/dl/5294732/4ac44f,408,Packt Publishing,2019,english,"PDF, 17.37 MB",Python,Explores containerization and Python microservices.,2
276765,9029716894,0,Hands-On Software Engineering with Python: Move beyond basic programming and construct reliable and efficient software with complex code,Brian Allbee,"https://m.media-amazon.com/images/I/816ZtJTFEQL._UF1000,1000_QL80_.jpg",https://1lib.in/dl/3655462/7e924d,736,Packt Publishing,2018,english,"PDF, 19.69 MB",Python,Introduces modern software engineering practices using Python.,1
276768,9057868059,4,Intelligent Projects Using Python: 9 real-world AI projects leveraging machine learning and deep learning with TensorFlow and Keras,Santanu Pattanayak,"https://m.media-amazon.com/images/I/81JXy7ji9BL._UF1000,1000_QL80_.jpg",https://1lib.in/dl/5220594/17db16,342,Packt Publishing,2019,english,"PDF, 38.21 MB",Python,Projects on AI applications across industries using Python.,2
276772,3596151465,10,Introduction to Modeling and Simulation with MATLAB® and Python,Steven I. Gordon,https://images.routledge.com/common/jackets/crclarge/978131515/9781315151748.jpg,https://1lib.in/dl/3319033/077892,210,Chapman and Hall/CRC;Taylor & Francis,2017,english,"PDF, 7.36 MB",Python,Comprehensive ML concepts for Python programmers.,0
